timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-09-05T00:00:00.000Z";"2023-09-05T23:59:59.999Z";"2023-09-05T15:19:00.000Z";"2023-09-05T03:25:00.000Z";215.2110103004;215.7219955673;213.6724345838;214.478129064;298056096.4;32997418545.33;"2023-09-05T23:59:59.999Z"
"2023-09-04T00:00:00.000Z";"2023-09-04T23:59:59.999Z";"2023-09-04T14:19:00.000Z";"2023-09-04T13:04:00.000Z";214.3931049191;216.2675136565;213.2823725263;215.1975054932;364530692.85;33108119936.54;"2023-09-04T23:59:59.999Z"
"2023-09-03T00:00:00.000Z";"2023-09-03T23:59:59.999Z";"2023-09-03T12:51:00.000Z";"2023-09-03T16:55:00.000Z";214.4548208635;215.1149037527;213.4119580634;214.3999450438;264565517.66;32985441374.76;"2023-09-03T23:59:59.999Z"
"2023-09-02T00:00:00.000Z";"2023-09-02T23:59:59.999Z";"2023-09-02T15:28:00.000Z";"2023-09-02T18:31:00.000Z";213.6269174911;215.5995035976;213.2905393376;214.448547336;291979875.55;32992942464.21;"2023-09-02T23:59:59.999Z"
"2023-09-01T00:00:00.000Z";"2023-09-01T23:59:59.999Z";"2023-09-01T00:49:00.000Z";"2023-09-01T17:43:00.000Z";216.5984771091;217.965741771;211.5917153283;213.6305479963;438229562.21;32867117169.89;"2023-09-01T23:59:59.999Z"
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:46:00.000Z";"2023-08-31T21:10:00.000Z";223.8185689883;225.5888760801;215.4484313552;216.5977861687;428616638.93;33323655435.27;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:04:00.000Z";"2023-08-30T16:52:00.000Z";226.8701484943;227.0490083018;221.9781441511;223.7994308308;359750612;34431659640.73;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:46:00.000Z";"2023-08-29T10:40:00.000Z";218.7215071395;233.060015308;217.0478708672;226.8628766219;593296660.7;34903000575.6;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:28:00.000Z";"2023-08-28T08:19:00.000Z";218.3582483497;218.970014328;215.8501962872;218.7185655726;332786869.36;33650022331.15;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T17:01:00.000Z";"2023-08-27T04:31:00.000Z";216.3699467882;219.5391816109;216.0804044823;218.3580031903;325410552.94;33594578271.57;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:28:00.000Z";"2023-08-26T23:46:00.000Z";218.3317976761;218.7864333538;216.2140406404;216.3642380953;273738258.4;33287858207.8;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:06:00.000Z";"2023-08-25T05:08:00.000Z";218.6810921047;219.2549973138;214.2651614151;218.3310621824;423891091.63;33590478887.31;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T11:22:00.000Z";"2023-08-24T20:58:00.000Z";216.4448390802;220.3855193478;215.8997365458;218.6463910051;394620698.33;33639019170.31;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:50:00.000Z";"2023-08-23T00:00:00.000Z";210.8186910362;218.3167066993;210.8186910362;216.3992966395;566160608.17;33293304052.03;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T23:17:00.000Z";"2023-08-22T16:28:00.000Z";210.579950858;211.8742526067;204.3991384887;210.8343571151;637832641.42;32437179621.73;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:09:00.000Z";"2023-08-21T15:31:00.000Z";216.6307915177;216.7411792759;207.5687710083;210.6389532912;582113966.52;32407148960.35;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:47:00.000Z";"2023-08-20T15:11:00.000Z";217.0158488689;217.8824235409;215.6808645451;216.6358017322;297744716.62;33329801761.41;"2023-08-20T23:59:59.999Z"
